"","user_id","username","t_group","location","country","lat","lng","followers_count","friends_count"
"4155",711368248848211968,"X5MSport15","C","","",0,0,90,68
"4156",711369263848693760,"GabrieleJoiner","T","","",0,0,4,22
"4157",711390040966832128,"mightyicecreams","C","","",0,0,3,29
"4158",711550344304656384,"joetipton36","C","","",0,0,7,10
"4159",711596560409366528,"JudyHeavrin","C","","",0,0,23,77
"4160",711604246404317184,"realJimKime","C","","",0,0,100,61
"4161",711653732178640896,"dennism93637232","C","","",0,0,6,14
"4162",711673498817728512,"JamesWard007","C","Tennessee, USA","US",35.51749,-86.58045,9,19
"4163",711692653008723968,"whtepwr4life","C","The Scary South, FL","US",27.66483,-81.51575,236,313
"4164",711696710255271936,"RealMTMessenger","C","","",0,0,229,524
"4165",711724362521583616,"MeaganHudson92","C","Florida, USA","US",27.66483,-81.51575,166,354
"4166",711737133900419072,"TrueCliffWash","C","Washington, DC","US",38.90719,-77.03687,95,284
"4167",711831512983982080,"tponcary","C","","",0,0,94,43
"4168",711930352562900992,"ArthurSpina1","C","","",0,0,36,5
"4169",711950042949484544,"shirley102255","C","","",0,0,2,5
"4170",711963789546037248,"DGatlim","T","","",0,0,45,47
"4171",711971920934277120,"TruthsSerum","C","","",0,0,49,55
"4172",712007732119937024,"informedhealth4","C","","",0,0,5,25
"4173",712062675195269120,"katieSw14739721","C","","",0,0,27,28
"4174",712063383256760320,"njmom973","C","New Jersey, USA","US",40.05832,-74.40566,42,48
"4175",712111388815073280,"jnawoelfel","C","Milford, IA","US",43.32469,-95.15,14,58
"4176",712114051342532608,"DebbieM42857621","C","","",0,0,7,36
"4177",712138042333597696,"Evewking2","C","Maryland, USA","US",39.04575,-76.64127,18,27
"4178",712154840579887104,"BrendaAnders2","C","","",0,0,17,24
"4179",712222040917413888,"MpampisGkazis","C","Thessaloniki, Greece","GR",40.64006,22.94442,144,163
"4180",712249107658702848,"RealDHilburn","C","USA","US",37.09024,-95.71289,13,19
"4181",712273303604490240,"_removeKEBAB","C","","",0,0,19,30
"4182",712277662794977280,"Jmorando10yaho2","C","","",0,0,40,41
"4183",712280002457374720,"CasperC33414810","C","","",0,0,3,22
"4184",712282022840938496,"JimGalantino","C","","",0,0,21,48
"4185",712309126282477568,"JDBudWynn1","C","","",0,0,7,6
"4186",712309141218299904,"B4Realfoo","T","","",0,0,33,95
"4187",712323988815536128,"frankd2870","T","homeless ","US",38.57645,-82.55978,42,99
"4188",712328535407501312,"halmet_ebrahim","C","Kildare, Ireland","IE",53.15893,-6.90957,64,146
"4189",712330339176198144,"DavidWi89197305","C","United States","US",37.09024,-95.71289,17,17
"4190",712426553112571904,"CynthiaireneI","C","","",0,0,8,14
"4191",712449623181234176,"Mike34690699","C","59601","US",46.55708,-112.22852,147,190
